AVONWORTH HIGH SCHOOL
BALDWIN HIGH SCHOOL
BETHEL PARK SR HIGH SCHOOL
BRASHEAR HIGH SCHOOL
BRENTWOOD JR SR HIGH SCHOOL
CARLYNTON SENIOR HIGH
CARRICK HIGH SCHOOL
CHARTIERS VALLEY SR HIGH
CLAIRTON JR SR HIGH SCHOOL
CORNELL JR/SR HIGH SCHOOL
DEER LAKES SENIOR HIGH
DUQUESNE CITY  SCHOOL (Elem)
EAST ALLEGHENY JR SR HIGH
ELIZABETH FORWARD SR HIGH
FOX CHAPEL AREA HIGH SCHOOL
GATEWAY HIGH SCHOOL
HAMPTON HIGH SCHOOL
HIGHLANDS HIGH SCHOOL
KEYSTONE OAKS HIGH SCHOOL
MCKEESPORT AREA HIGH SCHOOL
MONTOUR HIGH SCHOOL
MOON AREA HIGH SCHOOL
MT. LEBANON HIGH SCHOOL
NORTH ALLEGHENY HIGH SCHOOL
NORTH HILLS SENIOR HIGH
NORTHGATE JR SR HIGH
PENN HILLS SENIOR HIGH
PERRY HIGH SCHOOL
PINE RICHLAND HIGH SCHOOL
PITTBURGH OBAMA 6-12
PITTSBURGH ALLDERDICE HIGH 
PLUM SENIOR HIGH SCHOOL
QUAKER VALLEY HIGH SCHOOL
RIVERVIEW SENIOR HIGH SCHOOL
SHALER AREA HIGH SCHOOL
SOUTH ALLEGHENY HIGH SCHOOL
SOUTH FAYETTE HIGH SCHOOL
SOUTH PARK SENIOR HIGH
SPRINGDALE JR SR HIGH SCHOOL
STEEL VALLEY SENIOR HIGH SCHOOL
STO-ROX SR HIGH SCHOOL
THOMAS JEFFERSON HIGH SCHOOL
UPPER ST CLAIR HIGH SCHOOL
WEST ALLEGHENY HIGH SCHOOL
WEST MIFFLIN AREA HIGH SCHOOL
WILKINSBURG HIGH SCHOOL
WOODLAND HILLS HIGH SCHOOL
